0    -1.04728
0.2    0.961617
0.4    0.689109
0.6     1.95993
0.8     1.89467
1      2.7729
1.2     2.37048
1.4     3.71455
1.6     2.92363
1.8      4.2947
2     4.24273
2.2     5.52483
2.4     4.21536
2.6     5.09461
2.8     5.58484
3     5.90629
3.2     6.39778
3.4     6.35356
3.6     7.59073
3.8      7.7533
4     8.26994
4.2     8.80729
4.4     9.37826
4.6     9.54576
4.8     9.95469
5     10.4567
5.2      10.732
5.4     10.7905
5.6     11.3095
5.8     12.1335
6     12.7675
6.2     13.0314
6.4      14.174
6.6      13.408
6.8     13.7511
7      14.265
7.2     14.8332
7.4     14.7982
7.6     15.9746
7.8     16.1389
8     15.9959
8.2     16.4569
8.4     16.8279
8.6     17.6211
8.8     18.0706
9     18.7585
9.2     18.5292
9.4     18.6851
9.6      19.939
9.8     19.5622
10     21.0437
10.2     21.3545
10.4     20.9879
10.6     21.9719
10.8     21.8575
11     22.8555
11.2     22.4819
11.4     23.4184
11.6     23.2489
11.8     23.1286
12      24.038
12.2       24.12
12.4     25.1129
12.6      25.181
12.8     25.3477
13     26.5346
13.2     26.4611
13.4     27.5134
13.6     27.6136
13.8     27.6517
14     27.9533
14.2      28.606
14.4     29.0313
14.6     29.4781
14.8     29.6164
15     30.3513
15.2     30.5106
15.4     31.4627
15.6     32.5719
15.8     32.3013
16     32.4549
16.2     32.5366
16.4     33.2179
16.6     33.6675
16.8     33.8637
17     34.8675
17.2     34.3734
17.4     35.0159
17.6     35.4373
17.8     35.8929
18     36.7084
18.2       38.03
18.4     37.2578
18.6     38.0279
18.8     38.3335
19     37.4998
19.2     38.5821
19.4      39.495
19.6     39.6531
19.8     39.8146
